"Country","Month","Total Passengers"
"United Kingdom","1/6/2021","169607"
"Panama","1/6/2021","228568"
"Japan","1/6/2021","71990"
"Chile","1/6/2021","13210"
"Germany","1/6/2021","250995"
"United Arab Emirates","1/6/2021","97679"
"Iceland","1/6/2021","56189"
"New Zealand","1/6/2021","2641"
"South Korea","1/6/2021","87492"
"Spain","1/6/2021","62559"
"Brazil","1/6/2021","65054"
"Italy","1/6/2021","57016"
"Argentina","1/6/2021","48390"
"Peru","1/6/2021","121092"
"Costa Rica","1/6/2021","254195"
"Australia","1/6/2021","6602"
"Switzerland","1/6/2021","33125"
"Turkey","1/6/2021","174482"
"Philippines","1/6/2021","18325"
"Israel","1/6/2021","112887"
"Belgium","1/6/2021","28914"
"Haiti","1/6/2021","54967"
"Denmark","1/6/2021","13194"
"Ireland","1/6/2021","18723"
"Guatemala","1/6/2021","139553"
"Ecuador","1/6/2021","106288"
"Bahamas","1/6/2021","185670"
"Honduras","1/6/2021","109275"
"Colombia","1/6/2021","394745"
"Antilles","1/6/2021","69655"
"Trinidad and Tobago","1/6/2021","601"
"El Salvador","1/6/2021","204554"
"Jamaica","1/6/2021","332821"
"Mexico","1/6/2021","3063676"
"Aruba","1/6/2021","150320"
"Atlantic Ocean","1/6/2021","26341"
"Canada","1/6/2021","107281"
"Netherlands","1/6/2021","137561"
"Taiwan","1/6/2021","24293"
"China","1/6/2021","14480"
"Dominican Republic","1/6/2021","746958"
"Cayman Islands","1/6/2021","2469"
"Hong Kong","1/6/2021","7780"
"France","1/6/2021","248426"
"Israel","1/5/2021","61923"
"Denmark","1/5/2021","5516"
"Australia","1/5/2021","5798"
"Guatemala","1/5/2021","121842"
"Belgium","1/5/2021","18472"
"Iceland","1/5/2021","16189"
"Cayman Islands","1/5/2021","2144"
"China","1/5/2021","13106"
"New Zealand","1/5/2021","2160"
"Taiwan","1/5/2021","20147"
"Trinidad and Tobago","1/5/2021","330"
"Chile","1/5/2021","8446"
"Germany","1/5/2021","142038"
"Panama","1/5/2021","177341"
"Antilles","1/5/2021","49032"
"Hong Kong","1/5/2021","3244"
"South Korea","1/5/2021","71234"
"Philippines","1/5/2021","14943"
"Turkey","1/5/2021","126350"
"United Kingdom","1/5/2021","77197"
"Argentina","1/5/2021","34986"
"Italy","1/5/2021","20585"
"Japan","1/5/2021","53112"
"France","1/5/2021","72598"
"Costa Rica","1/5/2021","212719"
"Aruba","1/5/2021","125338"
"Peru","1/5/2021","115724"
"Atlantic Ocean","1/5/2021","15466"
"Spain","1/5/2021","21002"
"Ecuador","1/5/2021","93376"
"Canada","1/5/2021","73944"
"Brazil","1/5/2021","46960"
"United Arab Emirates","1/5/2021","69986"
"Honduras","1/5/2021","100785"
"Mexico","1/5/2021","2774755"
"Haiti","1/5/2021","47447"
"Jamaica","1/5/2021","254759"
"Dominican Republic","1/5/2021","635691"
"Switzerland","1/5/2021","16732"
"Colombia","1/5/2021","321302"
"Netherlands","1/5/2021","79774"
"El Salvador","1/5/2021","154841"
"Ireland","1/5/2021","9267"
"Bahamas","1/5/2021","134518"
"Dominican Republic","1/4/2021","569938"
"Belgium","1/4/2021","14859"
"Philippines","1/4/2021","9213"
"Israel","1/4/2021","55259"
"Cayman Islands","1/4/2021","1662"
"Trinidad and Tobago","1/4/2021","778"
"Australia","1/4/2021","4935"
"Taiwan","1/4/2021","17264"
"Aruba","1/4/2021","112169"
"Atlantic Ocean","1/4/2021","7992"
"Bahamas","1/4/2021","102680"
"Netherlands","1/4/2021","51652"
"Germany","1/4/2021","94226"
"Brazil","1/4/2021","29886"
"Japan","1/4/2021","39756"
"France","1/4/2021","51537"
"Argentina","1/4/2021","27112"
"Italy","1/4/2021","9691"
"Mexico","1/4/2021","2188551"
"El Salvador","1/4/2021","126571"
"China","1/4/2021","11398"
"Ireland","1/4/2021","6242"
"South Korea","1/4/2021","43978"
"Hong Kong","1/4/2021","2257"
"Honduras","1/4/2021","76754"
"Guatemala","1/4/2021","91309"
"Colombia","1/4/2021","219476"
"Canada","1/4/2021","66298"
"Haiti","1/4/2021","44757"
"Jamaica","1/4/2021","188408"
"Ecuador","1/4/2021","68262"
"United Arab Emirates","1/4/2021","74014"
"Iceland","1/4/2021","1552"
"New Zealand","1/4/2021","2160"
"Spain","1/4/2021","13259"
"Switzerland","1/4/2021","10243"
"Denmark","1/4/2021","3196"
"Antilles","1/4/2021","37781"
"Costa Rica","1/4/2021","167385"
"Panama","1/4/2021","106259"
"Chile","1/4/2021","9530"
"Turkey","1/4/2021","94701"
"United Kingdom","1/4/2021","54803"
"Peru","1/4/2021","81261"
"Mexico","1/3/2021","1812639"
"Germany","1/3/2021","80357"
"Dominican Republic","1/3/2021","474019"
"Bahamas","1/3/2021","82392"
"Trinidad and Tobago","1/3/2021","1182"
"Canada","1/3/2021","50887"
"Antilles","1/3/2021","29072"
"Chile","1/3/2021","27129"
"Taiwan","1/3/2021","10535"
"Russia","1/3/2021","18533"
"Costa Rica","1/3/2021","146065"
"Panama","1/3/2021","84679"
"Hong Kong","1/3/2021","2305"
"China","1/3/2021","10359"
"Denmark","1/3/2021","2412"
"Belgium","1/3/2021","12583"
"Spain","1/3/2021","7969"
"Israel","1/3/2021","22623"
"Ireland","1/3/2021","5231"
"Philippines","1/3/2021","11492"
"United Arab Emirates","1/3/2021","56901"
